LOCAL_PACK_CODE,PCID Mapping
MAL19900509AZ,350428
MAL14115024X,1691565
MAL09042388AZ,334177
MAL22026018AZ,1692046
MAL05121153AZ,168572
MAL19920300AZ,1420973
MAL21036030AZ,1901605
MAL20076014ARZ,1691888
MAL19912380XZ,1691446
MAL17085005AZ,1691339
MAL19021009AZ,1959150
MAL20051348AZ,1565875
MAL19990989AZ,944099
MAL20041268AZ,1901609
MAL06100579AZ,337935
MAL19985960AZ,1836198
MAL16125011N,600250
MAL19961324AZ,1959173
MAL08080395AZ,944160
MAL19991893AZ,601252
MAL17107024ARZ,1691596
MAL19973349AZ,1974924
MAL09100266AZ,1691991
MAL17107093AZ,1836228
MAL19961336AZ,1959168
MAL19900491AZ,1691564
MAL07081524AZ,168425
MAL20032426AZ,1691787
MAL12055022AZ,1691554
MAL18116126AZ,1959132
MAL17107032AZ,1901543
MAL19056119AZ,1691837
MAL19860535AZ,1691253
MAL21096008AZ,1901469
MAL19940372AZ,1565831
MAL19973699AZ,1691748
MAL16045055AZ,1691474
MAL05092215ACZ,1959130
MAL19989041XZ,943561
MAL16105033AZ,1692172
MAL19973688AZ,302480
MAL12010005AZ,599656
MAL13035056XZ,1565867
MAL06071077AZ,1691308
MAL06121054X,1565926
MAL20020702X,599699
MAL19993079AZ,515446
MAL19940272AZ,860893
MAL19860247AZ,287540
MAL19921114AZ,1691691
MAL20026047ARZ,1959179
MAL12010007AZ,490189
MAL16025043AZ,1691763
MAL21106020AZ,1959146
MAL20026045ARZ,1959163
MAL18016027AZ,1901482
MAL17107075ACRZ,1901637
MAL08061682X,944125
MAL11040020AZ,1691246
MAL19871957AZ,1691279
MAL17065002AZ,1959120
MAL19940036AZ,1691891
MAL20116017AZ,1676515
MAL20046120AZ,1691726
MAL19860847AZ,515499
MAL13115222X,1901465
MAL11030096AZ,1959164
MAL20031943AZ,1974926
MAL19860468AZ,1959154
MAL19872225AZ,1421133
MAL15085075AZ,1692093
MAL20020884AZ,1565973
MAL19991447XZ,1691579
MAL19992138AZ,350899
MAL20040832AZ,1565903
MAL10080071XZ,1901587
MAL12035079ACZ,238932
MAL07061565X,1691854
MAL16075029AZ,1691985
MAL07081548XZ,943958
MAL20014218AZ,1420977
MAL06041463AZ,619038
MAL19056129X,1691648
MAL19870413AZ,1691818
MAL19912711X,1692108
MAL19871687AZ,346689
MAL07082844AZ,1676507
MAL19860947AZ,1691671
MAL19930602AZ,1691305
MAL17085007AZ,1691882
MAL19940171XCZ,1901570
MAL20041064X,943150
MAL20033973AZ,1901492
MAL19992771AZ,943813
MAL06121051AZ,943536
MAL19940638AZ,1692090
MAL21056029AZ,1691650
MAL19860150AZ,394306
MAL20014564XZ,1974925
MAL18116130ACZ,1691857
MAL10120023ACZ,1959172
MAL09020977AZ,1691792
MAL10110003AZ,665200
MAL20000291AZ,1421040
MAL07124607AZ,1565839
MAL20013984AZ,2171448
MAL17107016AZ,1691351
MAL14125064AZ,1974916
MAL12085071AZ,1692167
MAL20126017ACZ,1676516
MAL20013499XZ,1691714
MAL08010740AZ,600191
MAL13055068ACZ,1691366
MAL09072796AZ,337856
MAL19987356AZ,1691451
MAL19890670AZ,1565972
MAL20076049ASZ,1901616
MAL05023177XZ,1565786
MAL19860041ACZ,1959162
MAL17065012ACRZ,2171408
MAL20000292AZ,1565790
MAL20012752XR,1837964
MAL20014012AZ,865992
MAL07061382AZ,619001
MAL04080003XZ,1691976
MAL20021425X,1691282
MAL20116019AZ,1691898
MAL19912425XZ,1901585
MAL19900274ACZ,2011279
MAL11010021AZ,1959151
MAL09051622AZ,1901490
MAL20040810AZ,1691353
MAL19962581AZ,1565852
MAL06100555AZ,1959255
MAL20002270AZ,296211
MAL18046174AZ,1565710
MAL20031764X,1420992
MAL05041842X,1901564
MAL20041162AZ,2221382
MAL19126014AZ,1959140
MAL20033486AZ,1691761
MAL18046155AZ,1691683
MAL18046154AZ,1691952
MAL06061699AZ,1692170
MAL20000279AZ,641743
MAL20013500XZ,1691705
MAL20034447AZ,1421108
MAL07061572XZ,1691422
MAL19056120AZ,1691319
MAL06011684AZ,1691851
MAL21106027AZ,2171426
MAL23056008AZ,1959261
MAL21036014X,1836239
MAL19986450AZ,1420902
MAL05101675AZ,943871
MAL08061611AZ,1837945
MAL20020899ARZ,360450
