input_company,input_product_name,timestamp,error_message
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T17:43:18,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T17:43:19,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T17:43:19,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-18T17:43:40,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-18T17:43:40,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-18T17:43:40,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-18T17:43:41,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-18T17:44:02,"Driver error during search: Message: 
"
Isdin,FOTO WET SKIN TRANSPARENT SPRAY SPF 50,2026-01-18T17:44:03,"Driver error during search: Message: 
"
Sant Gall,GALCICLINA SANT GALL,2026-01-18T17:45:03,"Driver error during search: Message: 
"
Aspen Pharma,INSPRA 50 MG,2026-01-18T17:53:41,"Driver error during search: Message: 
"
Nestlé Health Science,ISOSOURCE 1.5,2026-01-18T17:58:41,"Driver error during search: Message: 
"
Labsa,LABSALERG ß,2026-01-18T18:12:23,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T18:23:02,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T18:23:02,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T18:23:03,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T18:23:03,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-18T18:23:24,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-18T18:23:25,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-18T18:23:25,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-18T18:23:26,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-18T18:23:46,"Driver error during search: Message: 
"
Sant Gall,GALCICLINA SANT GALL,2026-01-18T18:23:46,"Driver error during search: Message: 
"
Isdin,FOTO WET SKIN TRANSPARENT SPRAY SPF 50,2026-01-18T18:23:46,"Driver error during search: Message: 
"
Aspen Pharma,INSPRA 50 MG,2026-01-18T18:23:47,"Driver error during search: Message: 
"
Labsa,LABSALERG ß,2026-01-18T18:24:08,"Driver error during search: Message: 
"
Fortbenton,LISALER ß,2026-01-18T18:29:25,"Driver error during search: Message: 
"
Bioprofarma Bagó,MITOXGEN,2026-01-18T18:58:41,"Driver error during search: Message: 
"
Nestle,NAN 1 OPTIPRO HMO RTD,2026-01-18T19:11:08,"Driver error during search: Message: 
"
Nestle,NAN 2 OPTIPRO HMO RTD,2026-01-18T19:11:14,"Driver error during search: Message: 
"
Nestle,NAN 3 OPTIPRO HMO RTD,2026-01-18T19:11:29,"Driver error during search: Message: 
"
Valuge,NEWGEL+ LOLYPOP MAMARIAS NG-324,2026-01-18T19:19:52,"Driver error during search: Message: 
"
Valuge,NEWGEL+ LOLYPOP MAMARIAS NG-326,2026-01-18T19:19:54,"Driver error during search: Message: 
"
Framingham Pharma,NUTRI100 D3,2026-01-18T19:30:37,"Driver error during extraction: Message: 
"
Ethical Nutrition,NUTRIBABY MAMA DHA,2026-01-18T19:30:38,"Driver error during search: Message: 
"
Adium,OFANIR,2026-01-18T19:38:40,"Driver error during search: Message: 
"
Boehringer Ingelheim,OFEV,2026-01-18T19:38:50,"Driver error during search: Message: 
"
Biosintex,OFTALBRAX,2026-01-18T19:38:51,"Driver error during search: Message: 
"
Adium,ODRANAL,2026-01-18T19:38:52,"Driver error during extraction: Message: 
"
Denver Farma,OFTALDROP,2026-01-18T19:39:02,"Driver error during search: Message: 
"
Lab Internacional Argentino,OFTALMOLETS,2026-01-18T19:39:12,"Driver error during search: Message: 
"
Teingro,OFTALTEIN M,2026-01-18T19:39:23,"Driver error during search: Message: 
"
Siegfried,OILALFO,2026-01-18T19:39:34,"Driver error during search: Message: 
"
Rospaw,OLANZAPINA ROSPAW,2026-01-18T19:39:45,"Driver error during search: Message: 
"
Tuteur,OLAPATER COMPRIMIDOS,2026-01-18T19:39:55,"Driver error during search: Message: 
"
Microsules Arg.,ONKOSTATIL,2026-01-18T19:43:48,"Driver error during extraction: Message: 
"
Panalab,PARACNE,2026-01-18T19:53:44,"Driver error during search: Message: 
"
Lazar,PARATROPINA ANTIGAS V.L.,2026-01-18T19:53:56,"Driver error during search: Message: 
"
Lazar,PARATROPINA V.L.,2026-01-18T19:54:11,"Driver error during extraction: Message: 
"
Haleon Argentina,PARODONTAX BLANQUEADOR,2026-01-18T19:54:35,"Driver error during extraction: Message: 
"
Haleon Argentina,PARODONTAX COMPLETE PROTECTION EXTRA FRESH,2026-01-18T19:54:37,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T19:56:24,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-18T19:56:24,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-18T19:56:26,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-18T19:56:26,"Driver error during search: Message: 
"
