Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API
AEROCAMARA AEROSPACER JUVENIL,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-juvenil.html,selenium,no,no
AEROCAMARA AEROSPACER LACTANTE,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-lactante.html,selenium,no,no
AEROCAMARA AEROSPACER TRAQUEOTOMIA,Patejim,https://www.alfabeta.net/precio/aerocamara-aerospacer-traqueotomia.html,selenium,no,no
AEROCAMARA MAXAIR ADULTO,Biofactor,https://www.alfabeta.net/precio/aerocamara-maxair-adulto.html,selenium,no,no
AEROCAMARA MAXAIR PEDIATRICA,Biofactor,https://www.alfabeta.net/precio/aerocamara-maxair-pediatrica.html,selenium,no,no
AEROGAL,Megalabs Argentina,https://www.alfabeta.net/precio/aerogal.html,selenium,no,no
AEROLEP,Austral,https://www.alfabeta.net/precio/aerolep.html,selenium,no,no
AEROMED CASSARA,Cassará,https://www.alfabeta.net/precio/aeromed-cassara.html,selenium,no,no
AEROPAFF AEROCAMARA VALVULADA,Patejim,https://www.alfabeta.net/precio/aeropaff-aerocamara-valvulada.html,selenium,no,no
AEROPIEL,Biosintex Retail,https://www.alfabeta.net/precio/aeropiel.html,selenium,no,no
AEROSPACER PACK,Patejim,https://www.alfabeta.net/precio/aerospacer-pack.html,selenium,no,no
AEROTINA,Adium,https://www.alfabeta.net/precio/aerotina.html,selenium,no,no
AEROTINA JARABE PEDIATRICO C/DOSIFICADOR,Adium,https://www.alfabeta.net/precio/aerotina-jarabe-pediatrico-cdosificador.html,selenium,no,no
AEROTINA RAPIDA ACCION,Adium,https://www.alfabeta.net/precio/aerotina-rapida-accion.html,selenium,no,no
AEROTROP,Cassará,https://www.alfabeta.net/precio/aerotrop.html,selenium,no,no
AEROTROP NEBU,Medisol,https://www.alfabeta.net/precio/aerotrop-nebu.html,selenium,no,no
AEROVENT,Medisol,https://www.alfabeta.net/precio/aerovent.html,selenium,no,no
