input_company,input_product_name,timestamp,error_message
Labsa,LABSALERG ß,2026-01-24T21:36:24,"Driver error during search: Message: 
"
Fortbenton,LISALER ß,2026-01-24T21:37:20,"Driver error during search: Message: 
"
Laboratorio Millet,MEGACISSTIN MAX COMPRIMIDOS,2026-01-24T21:39:51,"Driver error during search: Message: 
"
Pfizer,MUCOPREDNIBRON,2026-01-24T21:59:04,"Driver error during search: Message: 
"
Roemmers,MUCOLITIC ANTITUSIVO,2026-01-24T21:59:04,"Driver error during search: Message: 
"
Opella Healthcare Arg.,MUCOSOLVAN,2026-01-24T21:59:06,"Driver error during search: Message: 
"
Opella Healthcare Arg.,MUCOSOLVAN COMPOSITUM,2026-01-24T21:59:08,"Driver error during search: Message: 
"
Opella Healthcare Arg.,MUCOSOLVAN FORTE,2026-01-24T21:59:10,"Driver error during search: Message: 
"
Opella Healthcare Arg.,MUCOSOLVAN FR,2026-01-24T21:59:11,"Driver error during search: Message: 
"
Nestle,NAN 1 OPTIPRO HMO RTD,2026-01-24T22:01:06,"Driver error during search: Message: 
"
Nestle,NAN 3 OPTIPRO HMO RTD,2026-01-24T22:01:13,"Driver error during search: Message: 
"
Valuge,NEOSTRATA SKIN ACTIVE LIFTING HIALURONICO,2026-01-24T22:04:04,"Driver error during search: Message: 
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:202:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:555:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
"
Valuge,NEOSTRATA RESURFACE CREMA ULTRA SUAVIZANTE,2026-01-24T22:04:05,"Driver error during search: Message: 
"
Valuge,NEWGEL+ LOLYPOP MAMARIAS NG-326,2026-01-24T22:06:09,"Driver error during search: Message: 
"
Valuge,NEWGEL+ LOLYPOP MAMARIAS NG-324,2026-01-24T22:06:10,"Driver error during search: Message: 
"
Lagos,NIO CREME MICRO,2026-01-24T22:09:03,"Driver error during search: Message: 
"
Nutricia-Bagó,NUTRILON PLON PREMATUROS 1,2026-01-24T22:14:50,"Driver error during search: Message: 
"
Rospaw,OLANZAPINA ROSPAW,2026-01-24T22:16:25,"Driver error during search: Message: 
"
Kilab,OMEPRAZOL KILAB,2026-01-24T22:19:01,"Driver error during search: Message: 
"
IBC,OMEPRAZOL PHARMAVIAL,2026-01-24T22:19:01,"Driver error during search: Message: 
"
Richet,OMEPRAZOL RICHET,2026-01-24T22:19:02,"Driver error during search: Message: 
"
Labsa,OMEPRAZOL 20 LABSA,2026-01-24T22:19:32,"Driver error during search: Message: 
"
Denver Farma,OMEPRAZOL DENVER FARMA,2026-01-24T22:19:32,"Driver error during search: Message: 
"
Northia,ONDANSETRON NORTHIA,2026-01-24T22:24:02,"Driver error during search: Message: 
"
Richet,ONDANSETRON RICHET,2026-01-24T22:24:02,"Driver error during search: Message: 
"
Teingro,PANCREATEIN,2026-01-24T22:29:02,"Driver error during search: Message: 
"
Haleon Argentina,PARODONTAX COMPLETE PROTECTION EXTRA FRESH,2026-01-24T22:30:50,"Driver error during search: Message: 
"
Biosintex Retail,PIRITOS,2026-01-24T22:39:25,"Driver error during search: Message: 
"
Biosintex Retail,PIRIGRIP,2026-01-24T22:39:25,"Driver error during search: Message: 
"
Valuge,PIROCTOL,2026-01-24T22:39:26,"Driver error during search: Message: 
"
Biosintex Retail,PIRITOS FORTE,2026-01-24T22:39:26,"Driver error during search: Message: 
"
Valuge,PIROCTOL AS,2026-01-24T22:39:26,"Driver error during search: Message: 
"
Siegfried,PIROXICAM DUPOMAR,2026-01-24T22:39:32,"Driver error during search: Message: 
"
Siegfried,PIROXICAM RELAX,2026-01-24T22:39:46,"Driver error during search: Message: 
"
Vannier,PIROXICAM VANNIER,2026-01-24T22:39:46,"Driver error during search: Message: 
"
Finadiet,PISONO,2026-01-24T22:39:47,"Driver error during search: Message: 
"
Novoplos,PITYRUM,2026-01-24T22:39:48,"Driver error during search: Message: 
"
Medisol,PITIRIAX,2026-01-24T22:39:48,"Driver error during search: Message: 
"
Bagó,PIVALPEN,2026-01-24T22:39:54,"Driver error during search: Message: 
"
Eurofarma,PIVAST,2026-01-24T22:40:08,"Driver error during search: Message: 
"
Siegfried,PIXABAN,2026-01-24T22:40:08,"Driver error during search: Message: 
"
Eurofarma,PIXAR,2026-01-24T22:40:09,"Driver error during search: Message: 
"
Temis-Lostaló,PIXATEMIS 2.5,2026-01-24T22:40:09,"Driver error during search: Message: 
"
Temis-Lostaló,PIXATEMIS 5,2026-01-24T22:40:09,"Driver error during search: Message: 
"
Nutricia-Bagó,PKU 3 ADVANTA,2026-01-24T22:40:15,"Driver error during search: Message: 
"
AMN,PKU ANAMIX FIRST SPOON,2026-01-24T22:40:29,"Driver error during search: Message: 
"
AMN,PKU ANAMIX INFANT,2026-01-24T22:40:30,"Driver error during search: Message: 
"
AMN,PKU ANAMIX JUNIOR ORANGE,2026-01-24T22:40:31,"Driver error during search: Message: 
"
AMN,PKU ANAMIX JUNIOR UNFLAVOURED,2026-01-24T22:40:31,"Driver error during search: Message: 
"
AMN,PKU GMPRO DELIGHT 15 SABOR TROPICAL,2026-01-24T22:40:37,"Driver error during search: Message: 
"
AMN,PKU LOPHLEX JUICY LQ 20 BERRY,2026-01-24T22:40:58,"Driver error during search: Message: 
"
Gray,PROPOFOL GRAY,2026-01-24T22:49:06,"Driver error during search: Message: 
"
B. Braun,PROPOFOL LIPURO 1%,2026-01-24T22:49:06,"Driver error during search: Message: 
"
Casasco,REXFOL,2026-01-24T22:59:02,"Driver error during search: Message: 
"
Richmond,REXINTH,2026-01-24T22:59:02,"Driver error during search: Message: 
"
Casasco,REXNER,2026-01-24T22:59:03,"Driver error during search: Message: 
"
