page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
311,16,16,0,2,8,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (8)
312,28,28,0,4,3,True,Header calibration weak | Manufacturer pack leaks (28) | Multiple generics (3)
313,16,16,0,0,7,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (7)
314,15,15,0,0,6,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (6)
315,3,3,0,0,4,True,Header calibration weak | Manufacturer pack leaks (3) | Multiple generics (4)
316,20,20,0,7,4,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (4)
317,28,28,0,7,5,True,Header calibration weak | Manufacturer pack leaks (28) | Multiple generics (5)
318,10,10,0,0,7,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (7)
319,11,11,0,0,8,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (8)
320,19,19,0,16,3,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (3)
321,24,24,0,14,3,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (3)
322,11,11,0,1,6,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (6)
323,12,12,0,0,4,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (4)
324,21,21,0,8,5,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (5)
325,24,24,0,12,2,True,Header calibration weak | Manufacturer pack leaks (24)
326,16,16,0,0,9,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (9)
327,16,16,0,4,5,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (5)
328,15,15,0,13,3,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (3)
329,18,18,0,10,2,True,Header calibration weak | Manufacturer pack leaks (18)
330,5,5,0,1,4,True,Header calibration weak | Manufacturer pack leaks (5) | Multiple generics (4)
338,2,2,0,0,4,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (4)
341,1,1,0,1,5,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (5)
343,6,6,0,0,8,True,Header calibration weak | Manufacturer pack leaks (6) | Multiple generics (8)
344,5,5,0,0,5,True,Header calibration weak | Manufacturer pack leaks (5) | Multiple generics (5)
347,21,21,0,15,5,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (5)
348,24,24,0,17,2,True,Header calibration weak | Manufacturer pack leaks (24)
349,8,8,0,1,3,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (3)
353,7,7,0,1,9,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (9)
354,15,15,0,0,4,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (4)
355,23,23,0,5,4,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (4)
356,17,17,0,2,4,True,Header calibration weak | Manufacturer pack leaks (12) | Multiple generics (4)
359,25,25,0,3,6,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (6)
360,25,25,0,1,3,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (3)
361,16,16,0,0,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
362,1,1,0,0,1,True,Header calibration weak | Manufacturer pack leaks (1)
365,4,4,0,3,3,True,Header calibration weak | Manufacturer pack leaks (4) | Multiple generics (3)
369,24,24,0,0,5,True,Header calibration weak | Manufacturer pack leaks (24) | Multiple generics (5)
370,30,30,0,0,2,True,Header calibration weak | Manufacturer pack leaks (30)
371,34,34,0,0,1,True,Header calibration weak | Manufacturer pack leaks (34)
372,16,16,0,0,4,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (4)
373,15,15,0,0,2,True,Header calibration weak | Manufacturer pack leaks (15)
374,16,16,0,15,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
375,22,22,0,19,4,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (4)
376,17,17,0,14,4,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (4)
377,27,27,0,11,4,True,Header calibration weak | Manufacturer pack leaks (27) | Multiple generics (4)
378,10,10,0,0,3,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (3)
379,16,16,0,10,7,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (7)
380,10,10,0,0,4,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (4)
383,1,1,0,0,3,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (3)
387,21,21,0,0,4,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (4)
388,16,16,0,0,5,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (5)
389,20,20,0,0,4,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (4)
390,29,29,0,7,3,True,Header calibration weak | Manufacturer pack leaks (29) | Multiple generics (3)
391,30,30,0,7,2,True,Header calibration weak | Manufacturer pack leaks (30)
392,28,28,0,7,2,True,Header calibration weak | Manufacturer pack leaks (28)
393,15,15,0,0,6,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (6)
394,11,11,0,0,6,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (6)
395,18,18,0,0,6,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (6)
